propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,topPlus,externalReference,description,parkingSpace,newDevelopmentFinished,neighborhood
33416906,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ac/20/d4/245003797.jpg,20,7,650000.0,{'price': {'amount': 650000.0}},flat,sale,145.0,2,2,rua Cidade de Bissau,Lisboa,Olivais,,pt,38.764258,-9.118435,False,https://www.idealista.pt/imovel/33416906/,True,good,False,True,4483.0,{'typology': 'flat'},"{'subtitle': 'Olivais, Lisboa', 'title': 'Piso en rua Cidade de Bissau'}",True,False,False,False,,False,False,120611538-52,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33416927,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/90/b9/b0/245004227.jpg,33,,390000.0,{'price': {'amount': 390000.0}},flat,sale,68.0,2,1,Rossio - Martim Moniz,Lisboa,Santa Maria Maior,Rossio - Martim Moniz,pt,38.7146844,-9.1349653,False,https://www.idealista.pt/imovel/33416927/,False,good,False,False,5735.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,60755,"Descubra el encanto de la vida moderna en un entorno histórico con este piso de 2 dormitorios totalmente reformado, situado en el corazón del barrio histórico de Lisboa. Con una superficie de 68 m², esta propiedad ofrece una rara combinación de confort contemporáneo y carácter centenario, al estar situada en la zona más monumental de la ciudad. Al entrar, será recibido por un ambiente acogedor que combina elementos originales del siglo XVII con acabados modernos. El salón está bañado por la luz natural, destacando los suelos de madera pulida y las paredes cuidadosamente restauradas. La cocina está equipada con electrodomésticos de última generación. Cada dormitorio es un remanso de tranquilidad. El cuarto de baño, elegantemente actualizado, mantiene el equilibrio entre lo antiguo y lo nuevo, con azulejos tradicionales portugueses adornando las paredes. Este piso no es sólo un lugar para vivir; es un pedazo de historia viva. Ubicado en un edificio que ha resistido el paso del tiempo, ofrece una oportunidad única de formar parte del legado de una de las ciudades más encantadoras del mundo, En los alrededores hay una gran variedad de comercios tradicionales, escuelas, farmacias y transporte público. No pierda la oportunidad de poseer un pedazo de la historia de Lisboa. Reserve hoy mismo su visita y enamórese de este tesoro escondido en la ciudad.",,,
33416870,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/32/0d/d3/245002279.jpg,35,,625000.0,{'price': {'amount': 625000.0}},flat,sale,182.0,4,2,rua Shegundo Galarza s/n,Lisboa,Lumiar,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,pt,38.7724018,-9.15293,True,https://www.idealista.pt/imovel/33416870/,False,good,False,,3434.0,{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Piso en rua Shegundo Galarza s/n'}",True,False,False,False,,False,False,KWPT-000235,"Apartamento de 5 habitaciones ubicado en la urbanización Páteo São João de Brito, en Alta de Lisboa, Lumiar Con 182 m2 de superficie bruta privada y 33 m2 más de superficie bruta dependiente, este luminoso y espacioso apartamento reúne todas las condiciones para una vivienda armoniosa. experiencia familiar y a todos los que la disfruten. Ubicado en el 3er piso, tiene dos balcones en la habitación orientados al sur con vistas al Parque das Conchas, el segundo pulmón de Lisboa. En el lado opuesto del Parque das Conchas encontrarás el prestigioso Colégio de S. Tomás, así como el prestigioso Colégio de S. Tomás. el Colégio São João Brito y la Academia de Música Santa Cecília, que también se encuentran a pocos metros de este apartamento. Además de la excelente ubicación, el apartamento cuenta con mucho espacio de almacenamiento. Todos los dormitorios tienen armarios empotrados y en la cocina hay una zona de lavado. Esta fracción incluye un trastero y dos plazas de aparcamiento en el garaje. UBICACIÓN Y ENTORNO Alta de Lisboa ofrece una oferta urbana planificada y de calidad. Su excelente ubicación en la ciudad de Lisboa con buenos accesos por carretera y transporte, con el Metro Conchas a 900m y el Metro Lumiar a 1km, así como la diversidad de comercio, supermercados y servicios locales. Aquí encontrará excelentes opciones educativas en escuelas públicas o privadas. En lo que respecta a la salud, además de la Unidad de Salud Familiar Alta de Lisboa, está el Hospital Pulido Valente y la Clínica CUF Alvalade o Descobertas. Para más información y agendar visitas, contáctame. Compartimos 50/50 con todos los agentes inmobiliarios. /profesionales en la materia. Para obtener más información, visite nuestro sitio web en Características: Características exteriores: terraza/terraza; Puerta blindada; Videoportero; Piso superior; Características interiores - Hall de entrada; Electrodomésticos integrados; Baño completo; Armarios; Lavadero; Orientación - Este; Norte; Sur; Sureste; Otros equipos: servicio de Internet; Televisión por cable; Gas canalizado; Lavavajillas; Secadora de ropa; Refrigerador; Microonda; Lavadora; Vistas - Vista de la ciudad; Vista al jardín; Otras características - Garaje; Balcón; Garaje para 2 Coches; Cocina equipada; Recopilación; Suite; Acceso adecuado para personas con movilidad reducida; Ascensor;.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33416798,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b8/3f/a4/244999477.jpg,1,7,329900.0,{'price': {'amount': 329900.0}},flat,sale,70.0,2,2,Arneiros,Lisboa,Benfica,Arneiros,pt,38.7535443,-9.1998029,False,https://www.idealista.pt/imovel/33416798/,False,good,False,True,4713.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,HMBK3996,,,,
33416795,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3b/03/6a/244999265.jpg,25,7,329900.0,{'price': {'amount': 329900.0}},flat,sale,77.0,2,2,Arneiros,Lisboa,Benfica,Arneiros,pt,38.7543854,-9.1970701,False,https://www.idealista.pt/imovel/33416795/,False,good,False,False,4284.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,PSI-103566,,,,
33416760,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/8d/f5/63/244997826.jpg,15,1,1194600.0,{'price': {'amount': 1194600.0}},flat,sale,118.0,2,2,avenida Duque de Ávila,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7352753,-9.1455142,False,https://www.idealista.pt/imovel/33416760/,False,good,False,True,10124.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso en avenida Duque de Ávila'}",False,False,False,False,,False,False,RL1691,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33416708,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b9/a0/0d/244996800.jpg,23,1,258000.0,{'price': {'amount': 258000.0}},flat,sale,55.0,1,1,rua Conde Sabugosa,Lisboa,Alvalade,Alvalade,pt,38.7490156,-9.1388527,False,https://www.idealista.pt/imovel/33416708/,False,renew,False,False,4691.0,{'typology': 'flat'},"{'subtitle': 'Alvalade, Lisboa', 'title': 'Piso en rua Conde Sabugosa'}",False,False,False,False,,False,False,,,,,
33416693,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/80/7c/80/244996530.jpg,17,1,1085000.0,{'price': {'amount': 1085000.0}},flat,sale,103.0,2,2,avenida Duque de Ávila,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7347312,-9.1455299,False,https://www.idealista.pt/imovel/33416693/,False,good,False,True,10534.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso en avenida Duque de Ávila'}",False,False,False,False,,False,False,RL1693,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33414748,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b3/43/6d/244922951.jpg,37,6,590000.0,{'price': {'amount': 590000.0}},flat,sale,107.0,3,2,"estrada da Luz, 112",Lisboa,São Domingos de Benfica,Laranjeiras,pt,38.752688,-9.173488,True,https://www.idealista.pt/imovel/33414748/,False,good,False,True,5514.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso en estrada da Luz, 112'}",False,False,False,False,,False,False,120611851-62,,,,
33416673,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5b/c6/aa/244994627.jpg,41,1,420000.0,{'price': {'amount': 420000.0}},flat,sale,80.0,2,1,"rua Cidade de Manchester, 10",Lisboa,Arroios,Anjos,pt,38.7278688,-9.131361,True,https://www.idealista.pt/imovel/33416673/,False,good,False,False,5250.0,{'typology': 'flat'},"{'subtitle': 'Arroios, Lisboa', 'title': 'Piso en rua Cidade de Manchester, 10'}",True,False,False,False,,False,False,,,,,
